id	genero	edad	colegio	estrato	ingles	curso	pregrado	semestre	uso_carrera	frecuencia_ocio	frecuencia_academico	baby	please	Thank you	sorry	Hello	Goodbye	Bitch	Break	Brainstorming	Bot	Match	Influencer	Like	Crush	Dealer	Random	Ship	Troll	Mainstream	Freak	Hater	Follower	Brother	Feedback	Feeling	Fuck	Shit	Damn	Hype	Marketplace	What	Why	Where	When	Who	How	Whatever	Wherever	whenever	Whoever	however	Always	Sugar_daddy	Sugar_baby	Babe	Ok	Lol	Btw	Wait	Nice	Maybe	Omg	yes	not	wtf	idk	anyway	not_worry	but	so	spoiler	crazy	shut_up	slay	honey	cunt	loser	man	love	no_way	because	help	of_course	weird	blue_jean	round_point	dude	love_you	otros	total	medio	frec1	frec2	frec3	frec4	frec5	frec6	frec7	frec8	frec9	frec10	frec11	total	razon1	razon2	razon3	razon4	razon5	razon6	razon7
26	1	30	0	4	1	6	0	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	1	3	3	3	2	2	1	1	1	3	1	3	23	1	2	1	1	2	1	3
27	1	20	0	3	1	4	2	5	2	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	2	2	1	2	3	2	2	2	1	1	2	20	2	2	1	1	1	1	2
28	0	24	1	3	1	5	2	4	2	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	2	3	3	3	3	3	2	1	1	3	3	3	28	1	2	1	1	1	1	3
29	0	18	0	2	2	6	2	4	2	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	2	2	2	2	2	1	1	1	2	2	2	19	2	2	2	1	1	1	3
30	0	31	0	2	0	1	2	4	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2	2	2	2	2	1	3	2	1	2	21	1	1	1	1	1	1	1
31	1	23	1	2	0	1	2	4	2	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	3	3	2	3	2	2	1	1	3	3	3	26	2	2	1	1	1	1	3
32	1	22	0	2	1	5	2	4	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	2	3	3	2	3	3	1	1	1	3	3	3	26	1	1	1	1	1	1	2
33	1	25	0	2	1	4	2	4	2	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	1	3	3	3	3	3	1	1	1	3	3	3	27	1	1	1	1	1	3	3
34	1	20	0	2	2	6	2	4	1	2	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	3	3	3	3	3	1	1	1	3	1	3	25	3	2	1	2	2	2	3
35	0	20	0	2	1	4	2	4	2	2	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3	2	1	3	2	1	1	1	3	2	3	22	2	2	1	1	1	2	2
36	1	19	1	4	2	6	2	4	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	3	3	3	3	3	3	2	2	3	3	3	31	1	1	1	1	1	1	3
37	0	20	0	3	1	3	2	4	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	2	2	1	2	2	1	1	1	2	1	2	17	2	1	1	1	1	1	1
38	1	20	1	3	0	2	2	4	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	3	3	3	3	3	3	1	3	3	3	3	31	3	3	1	1	1	1	3
39	0	20	1	2	2	2	2	4	2	2	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	1	3	3	3	3	3	1	3	2	3	3	3	30	1	1	1	2	1	1	3
40	1	51	0	2	0	4	2	4	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	2	3	2	2	2	2	2	2	2	2	3	24	1	1	1	1	1	1	2
41	1	18	0	2	1	3	2	4	2	2	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	2	2	2	1	2	3	1	1	1	3	3	3	22	3	3	1	1	1	1	3
42	1	23	0	1	0	2	2	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	2	2	1	13	1	1	1	1	1	1	1
43	0	21	0	2	2	2	2	4	1	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	3	3	3	3	1	1	1	1	3	2	2	23	1	1	1	1	1	1	3
44	0	28	1	2	0	2	2	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	2	2	2	3	3	1	2	2	23	1	1	1	3	3	3	3
45	0	21	0	3	2	2	2	5	2	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	2	1	1	2	1	1	1	1	3	3	3	19	1	1	1	1	1	1	3
46	2	23	0	1	1	4	2	4	2	2	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	2	3	3	2	3	3	1	1	1	3	3	3	26	3	2	1	2	2	1	2
47	0	23	0	2	0	4	2	4	2	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	2	2	2	1	1	3	3	3	1	1	1	20	1	1	1	3	3	3	3
48	0	22	0	3	2	3	2	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	54	1	2	2	1	2	1	1	3	1	3	3	2	21	1	3	1	1	1	1	3
49	1	20	0	2	2	3	2	4	2	2	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	1	3	3	3	3	3	3	3	3	3	3	3	33	1	2	2	1	1	1	2
50	1	22	0	3	0	5	2	6	2	2	2	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	3	3	2	3	2	2	1	1	3	3	3	26	1	1	1	1	1	1	3
51	0	50	0	2	0	3	2	4	2	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	2	2	2	2	2	2	1	1	2	2	2	20	2	2	1	1	1	1	1
52	1	19	0	2	0	3	2	4	2	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1	3	3	3	3	3	1	1	2	2	2	1	24	3	3	3	1	1	1	1
53	0	22	0	2	1	3	2	5	2	2	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	1	2	2	2	2	2	2	2	1	3	3	2	23	1	1	1	1	1	1	2
54	0	20	0	3	0	3	2	5	2	1	2	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	2	2	1	2	1	1	1	1	2	3	3	19	1	1	1	1	1	1	3
55	1	21	0	2	0	2	2	4	2	2	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	2	3	3	1	3	1	1	1	1	3	3	3	23	1	3	1	1	1	1	3
56	1	22	1	3	2	6	2	4	2	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	54	2	3	3	3	3	3	1	2	1	3	3	3	28	1	1	1	1	1	1	3
57	0	23	0	2	0	4	2	7	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	3	3	3	3	2	1	1	1	3	3	3	26	3	2	3	1	1	1	3
58	1	24	0	3	1	6	2	7	2	2	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	1	3	3	1	3	3	3	1	1	3	3	3	27	1	1	1	1	1	1	3
